Timestamp,RelativeHumidity (%),Temperature (°C)
2025-06-04T08:29:11.187335,94.73,
2025-06-04T08:29:12.164741,94.73,
2025-06-04T08:29:13.153691,94.67,
2025-06-04T08:29:14.188336,94.67,
2025-06-04T08:29:15.162525,94.67,
2025-06-04T08:29:16.153897,94.67,
2025-06-04T08:29:17.157659,94.67,
2025-06-04T08:29:18.148485,94.65,
2025-06-04T08:29:19.153849,94.65,
2025-06-04T08:29:20.171997,94.65,
2025-06-04T08:29:21.147407,94.65,
2025-06-04T08:29:22.153830,94.65,
2025-06-04T08:29:23.142283,94.65,
2025-06-04T08:29:24.148758,94.65,
2025-06-04T08:29:25.154158,94.65,
2025-06-04T08:29:26.157333,94.65,
2025-06-04T08:29:27.148432,94.65,
2025-06-04T08:29:28.154111,94.65,
2025-06-04T08:29:29.172129,94.59,
2025-06-04T08:29:30.161888,94.59,
2025-06-04T08:29:31.154519,94.59,
2025-06-04T08:29:32.158500,94.59,
2025-06-04T08:29:33.148001,94.59,
2025-06-04T08:29:34.155063,94.51,
2025-06-04T08:29:35.158776,94.51,
2025-06-04T08:29:36.148669,94.51,
2025-06-04T08:29:37.154861,94.51,
2025-06-04T08:29:38.158681,94.51,
2025-06-04T08:29:39.148615,94.44,
2025-06-04T08:29:40.167580,94.44,
2025-06-04T08:29:41.157773,94.44,
2025-06-04T08:29:42.147635,94.44,
2025-06-04T08:29:43.154973,94.44,
2025-06-04T08:29:44.159233,94.37,
2025-06-04T08:29:45.148845,94.37,
2025-06-04T08:29:46.154318,94.37,
2025-06-04T08:29:47.160767,94.37,
2025-06-04T08:29:48.149573,94.37,
2025-06-04T08:29:49.155270,94.37,
2025-06-04T08:29:50.159309,94.37,
2025-06-04T08:29:51.149233,94.37,
2025-06-04T08:29:52.155043,94.37,
2025-06-04T08:29:53.158750,94.37,
2025-06-04T08:29:54.149561,94.37,
2025-06-04T08:29:55.155028,94.29,
2025-06-04T08:29:56.158513,94.29,
2025-06-04T08:29:57.148747,94.29,
2025-06-04T08:29:58.166989,94.29,
2025-06-04T08:29:59.157891,94.29,
2025-06-04T08:30:00.147931,94.24,
2025-06-04T08:30:01.156479,94.24,
2025-06-04T08:30:02.157580,94.24,
2025-06-04T08:30:03.163459,94.24,
