Timestamp,RelativeHumidity (%)
2025-05-29T12:00:34.028476,66.17
2025-05-29T12:00:35.019239,66.22
2025-05-29T12:00:36.023592,66.22
2025-05-29T12:00:36.999665,66.22
2025-05-29T12:00:38.018467,66.22
2025-05-29T12:00:39.010172,66.22
2025-05-29T12:00:40.013046,66.22
2025-05-29T12:00:41.005264,66.23
2025-05-29T12:00:42.009185,66.23
2025-05-29T12:00:43.031841,66.23
2025-05-29T12:00:44.033545,66.23
2025-05-29T12:00:45.010492,66.23
2025-05-29T12:00:46.028689,66.32
2025-05-29T12:00:47.034367,66.32
2025-05-29T12:00:48.042322,66.32
2025-05-29T12:00:49.027606,66.32
2025-05-29T12:00:50.004518,66.32
2025-05-29T12:00:51.022796,66.35
2025-05-29T12:00:52.014911,66.35
2025-05-29T12:00:53.006901,66.35
2025-05-29T12:00:54.009428,66.35
2025-05-29T12:00:55.076330,66.35
2025-05-29T12:00:56.063991,66.42
2025-05-29T12:00:57.083158,66.42
2025-05-29T12:00:58.060418,66.42
2025-05-29T12:00:59.036014,66.42
2025-05-29T12:01:00.026382,66.42
2025-05-29T12:01:01.044039,66.49
2025-05-29T12:01:02.019986,66.49
2025-05-29T12:01:03.024369,66.49
2025-05-29T12:01:03.999880,66.49
2025-05-29T12:01:05.004884,66.49
2025-05-29T12:01:06.009403,66.49
2025-05-29T12:01:07.014038,66.53
2025-05-29T12:01:08.007055,66.53
2025-05-29T12:01:09.008488,66.53
2025-05-29T12:01:10.013376,66.53
2025-05-29T12:01:11.019748,66.53
2025-05-29T12:01:12.011185,66.61
2025-05-29T12:01:13.015089,66.61
2025-05-29T12:01:14.005481,66.61
2025-05-29T12:01:15.012099,66.61
2025-05-29T12:01:16.028673,66.61
2025-05-29T12:01:17.020501,66.68
2025-05-29T12:01:18.010254,66.68
2025-05-29T12:01:18.999882,66.68
2025-05-29T12:01:20.021343,66.68
2025-05-29T12:01:21.012545,66.68
2025-05-29T12:01:21.999998,66.71
2025-05-29T12:01:23.020122,66.71
2025-05-29T12:01:24.010929,66.71
2025-05-29T12:01:25.014400,66.71
2025-05-29T12:01:26.007467,66.71
2025-05-29T12:01:27.025829,66.78
2025-05-29T12:01:28.017323,66.78
2025-05-29T12:01:29.018737,66.78
2025-05-29T12:01:30.012628,66.78
2025-05-29T12:01:31.015041,66.78
2025-05-29T12:01:32.007015,66.78
2025-05-29T12:01:33.011029,66.85
2025-05-29T12:01:34.029452,66.85
