Timestamp,RelativeHumidity (%),Temperature (°C)
2025-06-04T08:27:46.716043,36.89,
2025-06-04T08:27:47.705413,36.89,
2025-06-04T08:27:48.695713,36.89,
2025-06-04T08:27:49.730918,37.18,
2025-06-04T08:27:50.767570,37.18,
2025-06-04T08:27:51.786277,37.18,
2025-06-04T08:27:52.910977,37.18,
2025-06-04T08:27:54.081162,37.54,
2025-06-04T08:27:55.221302,37.54,
2025-06-04T08:27:56.301394,37.54,
2025-06-04T08:27:57.517462,37.54,
2025-06-04T08:27:58.597470,37.54,
2025-06-04T08:27:59.662095,37.61,
2025-06-04T08:28:00.799992,37.61,
2025-06-04T08:28:01.836736,37.61,
2025-06-04T08:28:02.826558,37.61,
2025-06-04T08:28:03.906403,37.61,
2025-06-04T08:28:05.075773,37.85,
2025-06-04T08:28:06.200852,37.85,
2025-06-04T08:28:07.326541,37.85,
2025-06-04T08:28:08.391397,37.85,
2025-06-04T08:28:09.489164,38.01,
2025-06-04T08:28:10.612351,38.01,
2025-06-04T08:28:11.647234,38.01,
